"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Diseases of metabolism","REAC:R-HSA-5668914","false","0.013054405958117004","1.8842428859997211","170","344","15","13541","Q9H324,P22570,Q9NPF0,Q9HC84,Q96E22,H3BP20,P22033,Q16394,Q06828,O14594,O75173,P05165,P51688,Q99466,Q86TH1"
"HP","Mendelian inheritance","HP:0034345","false","4.5908132606597445e-11","10.338110372560584","3261","344","146","13541","P54253,P12107,Q9H324,Q14657,Q13443,F5GX28,A0A3B3ISW5,F6T8Q0,Q8NEC5,P25490,O60318,P33076,Q6ZVN8,P22570,Q9NPF0,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8WVV4,Q9HC84,Q8TA86,P02675,A0A0C4DG33,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,O60292,Q01831,F6MDI1,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,Q93052,C9J6S5,Q5D862,Q12809,Q6ZRS2,P21359,Q05209,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q9UP52,P03952,Q2M1P5,P12109,Q9H0V9,Q07283,Q6ZUT3,Q04671,Q13507,O00255,Q01484,P05165,P21754,Q9BRI3,Q9H4A3,O43918,Q9P0X4,Q9H0W5,P51688,Q8WYB5,Q5T481,P35869,O75110,O14979,Q9UBU3,P51608,P42858,P41180,P10071,P49736,Q5VWP3,P21817,Q9Y5Y9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q96QB1,Q8IUC6,A6NGG8,O00443,P59047,P52952,Q9C0F0,Q13285,Q5T890,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,A2IDD5,Q8IWB6,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,Q86SQ4,P21917,O14647,Q92968,F2Z2Y1"
"HP","Mode of inheritance","HP:0000005","false","1.1854932782296028e-10","9.926100904137137","3297","344","146","13541","P54253,P12107,Q9H324,Q14657,Q13443,F5GX28,A0A3B3ISW5,F6T8Q0,Q8NEC5,P25490,O60318,P33076,Q6ZVN8,P22570,Q9NPF0,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8WVV4,Q9HC84,Q8TA86,P02675,A0A0C4DG33,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,O60292,Q01831,F6MDI1,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,Q93052,C9J6S5,Q5D862,Q12809,Q6ZRS2,P21359,Q05209,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q9UP52,P03952,Q2M1P5,P12109,Q9H0V9,Q07283,Q6ZUT3,Q04671,Q13507,O00255,Q01484,P05165,P21754,Q9BRI3,Q9H4A3,O43918,Q9P0X4,Q9H0W5,P51688,Q8WYB5,Q5T481,P35869,O75110,O14979,Q9UBU3,P51608,P42858,P41180,P10071,P49736,Q5VWP3,P21817,Q9Y5Y9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q96QB1,Q8IUC6,A6NGG8,O00443,P59047,P52952,Q9C0F0,Q13285,Q5T890,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,A2IDD5,Q8IWB6,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,Q86SQ4,P21917,O14647,Q92968,F2Z2Y1"
"HP","Abnormal nervous system physiology","HP:0012638","false","4.079458959430996e-10","9.389397431644063","2632","344","124","13541","P54253,Q9H324,Q14657,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,P25490,O60318,P33076,Q6ZVN8,P22570,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8TA86,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,Q01831,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,C9J6S5,Q12809,Q6ZRS2,P21359,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,Q15842,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q2M1P5,P12109,Q9H0V9,Q04671,Q13507,O00255,Q01484,P05165,Q9H4A3,O43918,Q9P0X4,P51688,Q8WYB5,P35869,O75110,O14979,P51608,P42858,P41180,P10071,Q5VWP3,P21817,Q9Y5Y9,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q8IUC6,A6NGG8,O00443,P52952,Q9C0F0,Q13285,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,Q68DE3,A2IDD5,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,P21917,O14647,Q92968"
"HP","Phenotypic abnormality","HP:0000118","false","4.6174997143397224e-10","9.335593122755222","3518","344","151","13541","P54253,P12107,Q9H324,Q14657,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,Q8NEC5,P25490,O60318,P33076,Q6ZVN8,P22570,Q9NPF0,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8WVV4,Q9HC84,Q8TA86,P02675,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,O60292,Q01831,F6MDI1,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,Q93052,C9J6S5,Q5D862,Q12809,Q6ZRS2,P21359,Q05209,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,Q15842,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q9UP52,P03952,Q2M1P5,P12109,Q9H0V9,Q07283,Q6ZUT3,Q04671,Q13507,O00255,Q01484,P05165,P21754,Q9BRI3,Q9H4A3,O43918,Q9P0X4,Q9H0W5,P51688,Q8WYB5,Q5T481,P35869,O75110,O14979,Q9UBU3,P51608,P42858,P41180,P10071,P49736,Q5VWP3,P21817,Q9Y5Y9,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q96QB1,Q8IUC6,A6NGG8,O00443,P59047,P52952,Q9C0F0,Q13285,Q5T890,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,Q68DE3,A2IDD5,Q8IWB6,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,Q86SQ4,P21917,O14647,Q92968,F2Z2Y1"
"HP","Abnormality of the nervous system","HP:0000707","false","4.638695866824788e-10","9.333604100792222","2795","344","129","13541","P54253,P12107,Q9H324,Q14657,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,P25490,O60318,P33076,Q6ZVN8,P22570,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8TA86,P02675,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,Q01831,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,C9J6S5,Q12809,Q6ZRS2,P21359,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,Q15842,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q2M1P5,P12109,Q9H0V9,Q04671,Q13507,O00255,Q01484,P05165,Q9H4A3,O43918,Q9P0X4,Q9H0W5,P51688,Q8WYB5,P35869,O75110,O14979,P51608,P42858,P41180,P10071,Q5VWP3,P21817,Q9Y5Y9,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q8IUC6,A6NGG8,O00443,P52952,Q9C0F0,Q13285,Q5T890,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,Q68DE3,A2IDD5,Q8IWB6,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,P21917,O14647,Q92968"
"HP","HP root","HP:0000001","false","4.733027994470421e-10","9.324860926800108","3519","344","151","13541","P54253,P12107,Q9H324,Q14657,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,Q8NEC5,P25490,O60318,P33076,Q6ZVN8,P22570,Q9NPF0,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8WVV4,Q9HC84,Q8TA86,P02675,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,O60292,Q01831,F6MDI1,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q96MP8,Q6KC79,P54710,Q15772,Q9Y4W6,Q93052,C9J6S5,Q5D862,Q12809,Q6ZRS2,P21359,Q05209,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,Q15842,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q8NDV7,Q9UP52,P03952,Q2M1P5,P12109,Q9H0V9,Q07283,Q6ZUT3,Q04671,Q13507,O00255,Q01484,P05165,P21754,Q9BRI3,Q9H4A3,O43918,Q9P0X4,Q9H0W5,P51688,Q8WYB5,Q5T481,P35869,O75110,O14979,Q9UBU3,P51608,P42858,P41180,P10071,P49736,Q5VWP3,P21817,Q9Y5Y9,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q96QB1,Q8IUC6,A6NGG8,O00443,P59047,P52952,Q9C0F0,Q13285,Q5T890,P78527,Q8TDI0,O15270,Q8N766,O15399,Q9NZC9,Q9UJY1,Q68DE3,A2IDD5,Q8IWB6,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,Q86SQ4,P21917,O14647,Q92968,F2Z2Y1"
"HP","Abnormality of mental function","HP:0011446","false","9.51379882055835e-10","9.021646036439888","2229","344","110","13541","P54253,Q9H324,Q14657,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,P25490,O60318,P33076,Q6ZVN8,P22570,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8TA86,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q5XUX0,Q99986,Q9BXM7,Q13009,Q01831,Q969G2,Q5SZL2,Q96E22,Q96MP8,Q6KC79,Q15772,Q9Y4W6,C9J6S5,Q6ZRS2,P21359,H3BP20,O14521,Q7Z5L9,O60930,P22033,Q13255,A0A804HL36,Q9C000,Q96N67,Q56NI9,Q9UPP1,Q969Y2,A0A0J9YX62,Q9HCM3,Q16394,P23769,Q96D31,Q15842,O75489,P07766,Q4AC94,Q8NFD5,O14746,Q2M1P5,P12109,Q9H0V9,Q04671,O00255,P05165,O43918,Q9P0X4,P51688,Q8WYB5,P35869,O75110,P51608,P42858,P41180,P10071,P21817,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9H2M9,Q9NS56,P19447,A6NMQ1,O43896,Q8IUC6,A6NGG8,O00443,P52952,Q9C0F0,Q8TDI0,Q8N766,O15399,Q9NZC9,Q68DE3,A2IDD5,O00294,Q86TH1,P43235,Q86YC2,Q01196,Q01105,Q96D53,Q8N5F7,B5TYJ1,P31629,P21917,O14647,Q92968"
"HP","Autosomal dominant inheritance","HP:0000006","false","1.1367580487015597e-8","7.944331962133368","1353","344","77","13541","P54253,P12107,F5GX28,A0A3B3ISW5,F6T8Q0,P25490,P43694,Q14692,Q8WXH2,Q9HC84,Q8TA86,F6MDI1,Q969G2,Q5SZL2,Q96E22,Q8NC56,Q6KC79,P54710,Q9Y4W6,Q93052,C9J6S5,Q12809,Q6ZRS2,P21359,Q05209,O14521,Q7Z5L9,Q13255,A0A804HL36,Q9C000,A0A0J9YX62,Q16394,P23769,Q96D31,Q8NFD5,O14746,Q8NDV7,P12109,Q9H0V9,Q13507,O00255,Q01484,P21754,Q9BRI3,Q9H4A3,O43918,Q9P0X4,Q8WYB5,Q5T481,O14979,Q9UBU3,P42858,P41180,P10071,P49736,P21817,Q9Y5Y9,Q86XK2,P22681,Q9NS56,Q96QB1,Q8IUC6,P52952,Q9C0F0,Q13285,Q8TDI0,O15270,O15399,Q9UJY1,A2IDD5,Q01196,Q01105,B5TYJ1,P31629,P21917,O14647,F2Z2Y1"
"HP","Atypical behavior","HP:0000708","false","1.2350880528823194e-8","7.908302079232069","1301","344","75","13541","P54253,Q13443,O75593,F5GX28,A0A3B3ISW5,F6T8Q0,P25490,Q6ZVN8,P43694,Q14692,Q8WXH2,A0A087WZN9,Q8TA86,A0A0C4DG33,Q9UJW0,Q9Y4W2,Q9HA77,Q9BXM7,Q13009,Q01831,Q969G2,Q5SZL2,Q96E22,Q6KC79,Q9Y4W6,C9J6S5,Q6ZRS2,P21359,H3BP20,O14521,Q7Z5L9,P22033,Q9C000,Q96N67,Q9HCM3,O75489,P07766,Q8NFD5,O14746,Q9H0V9,Q04671,O00255,P05165,O43918,Q9P0X4,P51688,P35869,O75110,P51608,P42858,P41180,P10071,P21817,A0A2R8YEM9,Q86XK2,P22681,Q16281,Q9NS56,P19447,A6NMQ1,Q8IUC6,A6NGG8,Q9C0F0,Q8TDI0,O15399,Q68DE3,O00294,Q86YC2,Q01196,Q8N5F7,B5TYJ1,P31629,P21917,O14647,Q92968"
